제목,글쓴이,발행일,카테고리,원문링크
실전 이커머스: 재고 관리 단위 설계로 품절률 10% 낮추기,큰그림기획,2026-07-06,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3836/
AI PM의 커리어를 설계하라,김영욱,2026-07-02,"기획, AI, 데이터",https://yozm.wishket.com/magazine/detail/3831/
AI PRD는 무엇이 달라야 하는가,김영욱,2026-06-18,"기획, AI",https://yozm.wishket.com/magazine/detail/3809/
AI 기능은 '프롬프트'가 아니라 '시스템'으로 만든다,김영욱,2026-06-11,"기획, 개발, AI, UIUX",https://yozm.wishket.com/magazine/detail/3797/
PM은 LLM을 어디까지 이해해야 할까?,김영욱,2026-06-04,"기획, 개발, AI",https://yozm.wishket.com/magazine/detail/3784/
AI는 왜 자꾸 틀리는가,김영욱,2026-05-28,"기획, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/3775/
이커머스 플랫폼의 수익성은 상품 데이터 구조에서 갈린다,큰그림기획,2026-05-21,"기획, IT, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3764/
플랫폼은 어떻게 가짜 신규 고객을 걸러낼까?,큰그림기획,2026-05-07,"기획, IT, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3742/
AI를 잘 쓰는 기획자는 왜 질문부터 다를까?,여행하는 기획자,2026-05-04,"기획, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/3737/
한국에서 인기 있는 앱이 왜 영국에선 통하지 않을까?,수완,2026-04-23,기획,https://yozm.wishket.com/magazine/detail/3722/
"구슬은 이미 많다, 비즈니스를 꿰는 기획자의 실전 로직",큰그림기획,2026-04-06,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3693/
클로드 코드와 MCP 연결로 디자인 감도 높이는 법,그릇,2026-03-24,"IT, 개발, 디자인, AI",https://yozm.wishket.com/magazine/detail/3672/
"매일 쓸 것 같다던 그 기능, 왜 아무도 안 썼을까?",김태길,2026-03-23,"기획, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/3670/
PM은 이미 끝났다? 제품 관리의 현실,요즘IT의 번역글,2026-03-12,"기획, 협업, 비즈니스",https://yozm.wishket.com/magazine/detail/3651/
기획자가 직접 99개의 서비스를 만들며 배운 것들,여행하는 기획자,2026-03-11,"기획, 개발, AI, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/3648/
"기획자, Supabase로 백엔드 구현까지 해봤습니다",그릇,2026-02-24,"기획, 개발, AI, 데이터",https://yozm.wishket.com/magazine/detail/3622/
"기획자, 안티그래비티(Antigravity) 이렇게 써봤습니다",그릇,2026-01-22,"기획, IT, 개발, 협업, 디자인, AI, 커뮤니케이션, 데이터",https://yozm.wishket.com/magazine/detail/3562/
"지금, 프로젝트 관리에 Jira 대안이 필요한 이유",뤼이도,2026-01-21,"기획, 개발, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/3561/
"AI 시대를 사는 디자이너의 무기, UX 심리학",디논,2026-01-15,"디자인, AI, UIUX",https://yozm.wishket.com/magazine/detail/3552/
프로젝트 매니저가 n8n으로 개발 문해력 높이는 방법,Un,2025-12-26,"IT, 개발, AI",https://yozm.wishket.com/magazine/detail/3523/
1년 만에 전략 바꾼 네이버: 기획자에게 던지는 메시지는?,여행하는 기획자,2025-12-05,"기획, AI, 커뮤니케이션, 비즈니스, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/3486/
AI 시대를 위한 바이브 기획은 어떤 모습이어야 하는가?,매니패스트,2025-11-24,"기획, IT, 개발, AI",https://yozm.wishket.com/magazine/detail/3465/
"카피일까, 벤치마킹일까? 베끼지 않고 재해석하는 법",신대리,2025-11-19,"기획, 개발, 디자인, AI, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/3456/
프리랜서 하시게요? 그럼 기획을 잘 하셔야겠네요?,매니패스트,2025-11-10,"기획, 개발, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3440/
"AI 주도 개발 시대, “기획”에 주목해야 하는 이유",매니패스트,2025-11-03,"기획, 개발, AI, 커뮤니케이션, 데이터",https://yozm.wishket.com/magazine/detail/3429/
"기획부터 편집까지, AI로 뚝딱 만드는 영상 제작 가이드",그릇,2025-10-23,"기획, AI",https://yozm.wishket.com/magazine/detail/3408/
AI 시대에도 개발 스프린트는 2주가 ‘국룰’일까?,Un,2025-10-15,"기획, IT, 개발, 협업, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/3394/
서비스 기획자가 꼭 알아야 할 ‘핵심 지표’ 가이드,소재민,2025-10-14,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3390/
AI로 더 똑똑하게 페르소나와 저니맵 만드는 법,요즘IT의 번역글,2025-07-10,"AI, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/3230/
AI 시대 기획자가 GPT로 타깃 고객 분석하는 법,그릇,2025-07-07,"기획, IT, AI, 데이터",https://yozm.wishket.com/magazine/detail/3222/
PRD 중심으로 AI 에이전트와 제품 개발하기,콴,2025-07-07,"기획, 개발, AI",https://yozm.wishket.com/magazine/detail/3221/
‘큐레이션’ 하나로 고객 경험을 바꿀 수 있을까?,그릇,2025-05-27,"기획, UIUX",https://yozm.wishket.com/magazine/detail/3151/
카카오 T에서 ‘심야주차권’을 3분 빨리 쓰면 벌어지는 일에 대하여,콴,2025-05-22,"개발, 비즈니스",https://yozm.wishket.com/magazine/detail/3139/
구글 직원은 왜 ‘구글러’일까? 커뮤니케이션 브랜딩의 힘,김도영,2025-05-01,"IT, 디자인, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/3102/
AI로 묻고 답하는 설문조사 툴 ‘Theysaid’,지금 써보러 갑니다,2025-04-17,"기획, AI, 데이터",https://yozm.wishket.com/magazine/detail/3070/
생각만으로 글 쓰는 시대 올까? 뇌-컴퓨터 인터페이스 혁명,고코더,2025-04-15,AI,https://yozm.wishket.com/magazine/detail/3067/
프로젝트보다 ‘프로덕트’ 중심 마인드셋이 중요한 이유,요즘IT의 번역글,2025-03-28,"기획, 개발",https://yozm.wishket.com/magazine/detail/3039/
왜 잘나가는 기업은 ‘인터널 브랜딩’부터 챙길까?,김도영,2025-03-20,"기획, 협업, 디자인, 비즈니스",https://yozm.wishket.com/magazine/detail/3024/
초개인화 승부수 띄운 ‘네이버플러스 스토어’ 전략 통할까?,그릇,2025-03-19,"AI, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/3023/
더 성장하고 싶은 IT인을 위한 추천 도서 11권,조영수,2025-03-17,"기획, IT, 개발, 협업, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/3018/
프로젝트 매니저도 AI에 일자리를 빼앗길까?,Un,2025-02-21,"기획, IT, 개발, AI",https://yozm.wishket.com/magazine/detail/2987/
"기능 성공 지표, 정말로 측정하고 있나요?",요즘IT의 번역글,2025-02-14,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2975/
아하 모먼트가 아닌 ‘아 모먼트’를 발견하다,딜라이트룸 제품 인사이트 팀,2025-01-30,"데이터, UIUX",https://yozm.wishket.com/magazine/detail/2953/
2025 이커머스 UX/UI 트렌드와 전략 살펴보기,그릇,2025-01-22,"AI, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2945/
급한 불 끄느라 바쁜 조직에서 벗어나는 법,요즘IT의 번역글,2025-01-13,"IT, 개발, 디자인, 비즈니스",https://yozm.wishket.com/magazine/detail/2929/
급한 불 끄기 바쁜 프로덕트의 문제점,요즘IT의 번역글,2025-01-13,"기획, IT, 개발",https://yozm.wishket.com/magazine/detail/2928/
CPO에게 신탁을 의뢰하지 마세요,콴,2024-12-26,"기획, 개발, 비즈니스",https://yozm.wishket.com/magazine/detail/2906/
요즘IT에 쓰는 100번째 글: “나도 개발자가 읽는 글을 쓰고 싶다!”,맨오브피스,2024-12-20,"기획, IT, 개발, AI, 커뮤니케이션, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2899/
갑자기 지표가 하락했을 땐 어떻게 해야 하나요?,Creative Owner,2024-12-19,"기획, IT, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2898/
"브랜드 슬로건, 어떻게 정해야 할까?",김도영,2024-12-17,"디자인, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/2894/
불황도 이겨내는 이커머스별 ‘딜 큐레이션’ 전략은?,그릇,2024-11-21,비즈니스,https://yozm.wishket.com/magazine/detail/2857/
PM의 ‘진짜 성장’은 언제 올까?,콴,2024-11-20,"기획, 개발, 커뮤니케이션, UIUX",https://yozm.wishket.com/magazine/detail/2855/
성장하지 못하는 PM의 착각,콴,2024-11-20,"기획, 개발, 비즈니스",https://yozm.wishket.com/magazine/detail/2854/
‘가치’에 집중하는 PM이 성공하는 이유,요즘IT의 번역글,2024-11-15,"기획, 개발, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/2848/
현상과 문제를 제대로 구분하고 있나요?,Creative Owner,2024-11-14,기획,https://yozm.wishket.com/magazine/detail/2846/
좋은 네이밍을 위한 체크리스트,김도영,2024-11-11,"기획, 디자인",https://yozm.wishket.com/magazine/detail/2840/
"툴 서비스의 무료 AI 기능, 사용자 경험은 어떨까?",egg fly,2024-11-05,"기획, 디자인, AI, UIUX",https://yozm.wishket.com/magazine/detail/2830/
UX 리서처와 데이터 사이언티스트가 함께 일하는 법,화해팀,2024-10-23,"협업, 비즈니스, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2813/
이커머스에서 고객 지표 이해하는 법 (feat. 태블로),그릇,2024-10-22,데이터,https://yozm.wishket.com/magazine/detail/2810/
‘스몰 브랜드’를 위한 브랜딩,김도영,2024-10-15,"기획, 디자인, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2799/
기획자가 알아야 할 결제 수단과 그 특징,Creative Owner,2024-10-08,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/2792/
AI도 UX 리서처가 될 수 있을까? AI 모더레이터 툴 리뷰,pxd Story,2024-09-27,"AI, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2781/
"시성비의 시대, 이커머스 ‘숏폼(샵라이브)’ 적용기",그릇,2024-09-25,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2777/
기획자가 알아야 할 건 왜 이렇게 많아요? 용어·개념 A to Z,요즘IT,2024-09-18,"기획, IT, 개발, 협업, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2767/
7년 차 PM이 알려주는 취업 뽀개기: 이직 편 (2),마리,2024-09-05,"기획, 개발",https://yozm.wishket.com/magazine/detail/2749/
7년 차 PM이 알려주는 취업 뽀개기: 이직 편 (1),마리,2024-09-05,"기획, 개발, 비즈니스",https://yozm.wishket.com/magazine/detail/2748/
“기획자는 원래 혼자 성장해야 하나요?”,beyond eyes,2024-08-28,"기획, IT, 비즈니스",https://yozm.wishket.com/magazine/detail/2735/
서비스가 ‘유료 프로필’ 기능을 설득하는 방법,egg fly,2024-08-21,"IT, 개발, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/2725/
꾸준히 성장하는 AI 제품은 어떻게 만들까?,이승헌,2024-08-20,"기획, 개발, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/2724/
"작지만 큰 선언, 브랜드 매니페스토 작성하기",김도영,2024-08-19,"기획, 디자인, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/2721/
"쿠팡, 네이버 등 프로덕트 리더 9인 추천 도서 26권",골든래빗,2024-08-13,"기획, 개발, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2715/
25번 면접 본 기획자의 이직 A to Z ② 포트폴리오와 면접,beyond eyes,2024-08-02,기획,https://yozm.wishket.com/magazine/detail/2700/
서비스 기획자가 ‘데이터 툴’ 활용하는 법,여행하는 기획자,2024-07-18,"기획, AI, 커뮤니케이션, 데이터",https://yozm.wishket.com/magazine/detail/2678/
25번 면접 본 기획자의 이직 A to Z ① 기업 분석과 이력서,beyond eyes,2024-07-16,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2674/
기획자가 알아야 할 ‘로직 트리’ 활용법,Creative Owner,2024-07-11,기획,https://yozm.wishket.com/magazine/detail/2669/
제미나이로 서비스 기획하기 A to Z,지금 써보러 갑니다,2024-07-09,"기획, AI, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/2665/
‘데이터’로 프로덕트 문제 탐구하는 방법,수완,2024-07-01,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2652/
7년 차 PM이 알려주는 취업 뽀개기: 신입 편,마리,2024-06-28,"기획, IT, 개발, 비즈니스",https://yozm.wishket.com/magazine/detail/2650/
"[요즘IT 2024] 상반기 ‘기획’, ‘디자인’ 인기글 TOP 7",요즘IT,2024-06-25,"기획, IT, 디자인, AI, 커뮤니케이션, 비즈니스, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2645/
UX 리서치 임팩트: 내 리서치가 정말 도움이 될까?,pxd Story,2024-06-20,"데이터, UIUX",https://yozm.wishket.com/magazine/detail/2639/
디자이너에게 ‘브랜드 콘셉트’를 설명하는 노하우,김도영,2024-06-13,"기획, 협업, 디자인, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/2628/
6년 차 CX 기획자가 다시 1년 차 PM이 된 이유,beyond eyes,2024-06-10,"기획, IT",https://yozm.wishket.com/magazine/detail/2622/
신뢰할 수 있는 A/B 테스트 만들기: ③ A/A 테스트와 무작위화,방태모,2024-05-24,기획,https://yozm.wishket.com/magazine/detail/2602/
신뢰할 수 있는 A/B 테스트 만들기: ② A/A 테스트와 실험 전 편향,방태모,2024-05-24,"IT, 데이터",https://yozm.wishket.com/magazine/detail/2601/
"‘불확실성’의 시대, PM의 역할과 마인드셋",수완,2024-05-10,"기획, 개발, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2580/
4가지 커머스로 알아본 ‘추천의 기술’,피오리,2024-05-08,기획,https://yozm.wishket.com/magazine/detail/2576/
대체 불가능한 콘텐츠 마케터가 되기 위한 노력,워니,2024-05-03,"디자인, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/2571/
"프리랜서 시작하는 UX/UI 디자이너, 기획자를 위한 팁",NINA.C,2024-05-02,"기획, IT, 디자인, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2570/
신뢰할 수 있는 A/B 테스트 만들기: ① 실험 전 단계,방태모,2024-04-25,데이터,https://yozm.wishket.com/magazine/detail/2560/
‘친절한’ 서비스 가이드를 만드는 3가지 요소,egg fly,2024-04-22,"기획, UIUX",https://yozm.wishket.com/magazine/detail/2553/
스토리텔링이 있는 긴 글을 어떻게 쓰는 걸까?,김도영,2024-04-19,"기획, 개발, 디자인, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/2552/
"우리만의 SNS 만들기(DAU 3명, 리텐션 100%)",맨오브피스,2024-04-05,비즈니스,https://yozm.wishket.com/magazine/detail/2531/
신규 고객 잡는 ‘앵커링 효과’와 ‘아하 모멘트’ 전략,수완,2024-03-21,비즈니스,https://yozm.wishket.com/magazine/detail/2506/
온라인 장보기에서 ‘상품 큐레이션’ 중요한 이유,그릇,2024-03-20,비즈니스,https://yozm.wishket.com/magazine/detail/2502/
모든 주문은 SIS로 통한다,SSG TECH,2024-03-19,"기획, IT",https://yozm.wishket.com/magazine/detail/2500/
생산적인 일정관리를 위한 업무 우선순위 정하기,Arch Calendar,2024-03-18,기획,https://yozm.wishket.com/magazine/detail/2498/
고객 중심 프로덕트 개선에 ‘A/B 테스트’ 왜 필수일까?,방태모,2024-03-13,IT,https://yozm.wishket.com/magazine/detail/2492/
