제목,글쓴이,발행일,카테고리,원문링크
데이터로 콘텐츠 제대로 다루는 법,29CM TECH,2024-03-12,데이터,https://yozm.wishket.com/magazine/detail/2491/
"기획자가 알아두어야 할 ‘CI, DI’ 개념 정리",Creative Owner,2024-03-11,기획,https://yozm.wishket.com/magazine/detail/2488/
7년 차 PM이 알려주는 취업 뽀개기: 인턴 편 (2),마리,2024-02-29,기획,https://yozm.wishket.com/magazine/detail/2476/
7년 차 PM이 알려주는 취업 뽀개기: 인턴 편 (1),마리,2024-02-29,기획,https://yozm.wishket.com/magazine/detail/2475/
서비스 기획자는 ‘미드저니’ 이렇게 활용합니다,여행하는 기획자,2024-02-27,"기획, AI",https://yozm.wishket.com/magazine/detail/2472/
AI의 파도 속에서 글쓰기와 브랜딩이 살아남는 방법,김도영,2024-02-23,"디자인, AI, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/2465/
우리 브랜드는 ‘라이프 스타일’을 반영하고 있나요?,최프로,2024-02-21,"디자인, 비즈니스",https://yozm.wishket.com/magazine/detail/2463/
‘좋아요’ 버튼으로 보는 사용자 의사 표현의 변화,egg fly,2024-02-20,IT,https://yozm.wishket.com/magazine/detail/2462/
이커머스에서 ‘리뷰’ 경험이 중요한 이유,수완,2024-02-06,기획,https://yozm.wishket.com/magazine/detail/2447/
PM 생산성 높이는 시간 관리 방법 ‘Day Theming’,Arch Calendar,2024-02-01,"기획, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/2442/
"커뮤니티 서비스 만들지 마세요, 어차피 실패합니다",서점직원,2024-01-18,기획,https://yozm.wishket.com/magazine/detail/2422/
PM 생산성 높이는 일정관리 방법 ‘Time Blocking’,Arch Calendar,2024-01-05,"기획, 개발, 협업, 비즈니스",https://yozm.wishket.com/magazine/detail/2399/
이제 마케팅 아니고 ‘다크패턴’입니다,큰그림기획,2024-01-04,"비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2398/
2023년 하반기 '요즘IT' 기획 카테고리 인기 콘텐츠 Top5,요즘IT,2023-12-27,"기획, IT",https://yozm.wishket.com/magazine/detail/2386/
오너십을 갖고 일하는 PM이 된다는 것,마리,2023-12-21,기획,https://yozm.wishket.com/magazine/detail/2376/
이커머스 앱이 ‘랭킹 화면’ 신경 쓰는 이유,수완,2023-12-19,데이터,https://yozm.wishket.com/magazine/detail/2372/
"[일잘러의 지표들] ⑥ '오래된 PM', 출판 편집자의 프로덕트 품질 개선법 3가지",어쩌다 편집자,2023-12-12,"기획, IT, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2361/
시니어 PO의 시간 관리 노하우 (feat. 재택근무),피오리,2023-12-04,기획,https://yozm.wishket.com/magazine/detail/2347/
서비스 기획자가 몰라도 되는 것들,소재민,2023-12-01,"기획, 개발",https://yozm.wishket.com/magazine/detail/2345/
[일잘러의 지표들] ④ 셀러와 고객을 잇는 ‘플랫폼’에 중요한 3가지 지표,서가희,2023-11-28,"기획, IT, 데이터",https://yozm.wishket.com/magazine/detail/2340/
“계정이 휴면 해제될 예정입니다” 메일 오는 이유,큰그림기획,2023-11-23,기획,https://yozm.wishket.com/magazine/detail/2333/
[일잘러의 지표들] ③ 애자일코치/TPM의 ‘탁월한 조직’을 만드는 3가지 레시피,에디&우디,2023-11-21,"기획, 협업, 데이터",https://yozm.wishket.com/magazine/detail/2328/
여기어때 PO의 JTBD 프레임워크 활용법,여기어때,2023-11-16,기획,https://yozm.wishket.com/magazine/detail/2322/
[일잘러의 지표들] ② 뤼이드 AI 튜터 제품 PM이 주목한 지표 3가지,이승헌,2023-11-14,"기획, AI, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2317/
[일잘러의 지표들] ① SAP 시니어 PM의 '시장에서 이기는' 3가지 지표,김영욱,2023-11-07,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2306/
PO가 비즈니스 전략을 제품에 녹이는 방법,강남언니,2023-11-03,"기획, IT, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2301/
기획자가 알아야 할 서비스 평가 지표,Creative Owner,2023-11-02,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2299/
브랜드의 미래가 고민된다면? ‘What-If 워크샵’,김도영,2023-10-27,"기획, 디자인, 비즈니스",https://yozm.wishket.com/magazine/detail/2289/
좋은 UX를 제공하는 제품에 숨은 비법,오의택,2023-10-25,"디자인, UIUX",https://yozm.wishket.com/magazine/detail/2285/
서비스 기획자가 알아야 할 ‘목적과 목표’,egg fly,2023-10-24,"기획, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2284/
7년 차 기획자의 커뮤니케이션 실제 사례,큰그림기획,2023-10-18,"기획, 개발, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/2274/
스타트업 CPO의 커뮤니케이션 방법,호박너구리,2023-10-10,"기획, 커뮤니케이션, 비즈니스",https://yozm.wishket.com/magazine/detail/2261/
오픈런을 부르는 히트 상품의 3가지 법칙,최프로,2023-09-22,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2240/
프로젝트 단계별로 본 PO의 커뮤니케이션 방법,피오리,2023-09-20,"기획, 협업, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/2237/
브랜드 정립 단계에서 꼭 던져야 하는 질문들,김도영,2023-09-08,"기획, 디자인",https://yozm.wishket.com/magazine/detail/2220/
이커머스 도메인에서 상품 화면 기획하기,큰그림기획,2023-09-01,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2207/
서비스 기획할 때 ‘VOC’ 꼭 필요할까?,beyond eyes,2023-08-29,"기획, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2200/
기획자가 알아야 할 오픈 API 활용 사례,큰그림기획,2023-08-23,"기획, 개발, 비즈니스",https://yozm.wishket.com/magazine/detail/2191/
"기획자가 좋은 피드백을 이끌어내는 방법, 피드포워드",김도영,2023-08-18,"기획, 협업, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/2181/
"서비스 기획 실전편: 기능 명세서, 스토리보드 작성하기",소재민,2023-08-11,"기획, 개발, 협업, 디자인, 비즈니스",https://yozm.wishket.com/magazine/detail/2169/
효과적인 설문 조사를 위한 3단계,오의택,2023-08-10,"기획, 개발, 데이터",https://yozm.wishket.com/magazine/detail/2167/
커머스 사례로 보는 인풋 지표와 아웃풋 지표,김민우,2023-08-09,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2166/
구글 성공 만든 ‘도그푸딩(Dogfooding)’ 리서치 방법론 적용기,pxd Story,2023-08-02,비즈니스,https://yozm.wishket.com/magazine/detail/2156/
"프로덕트의 ‘수익화’를 측정하는 지표들: ARPU, ARPPU, NRR",김민우,2023-08-01,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2154/
서비스 기획은 어떻게 시작해야 할까?,소재민,2023-08-01,"기획, 개발, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2153/
기획자의 포트폴리오 작성법,피오리,2023-07-28,기획,https://yozm.wishket.com/magazine/detail/2148/
사용자 ‘리텐션’을 측정하는 5가지 지표,김민우,2023-07-25,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2143/
‘CX가 왜 필요하냐’고 묻는 관리자를 설득하는 방법,beyond eyes,2023-07-24,"기획, 커뮤니케이션, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2140/
기획자가 알아야 할 데이터 분석 도구와 활용법,Creative Owner,2023-07-24,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2141/
2023년 상반기 ‘요즘IT’ 기획 카테고리 인기 콘텐츠 Top5,요즘IT,2023-07-20,"기획, IT, AI, 데이터",https://yozm.wishket.com/magazine/detail/2133/
UXer가 되기 위한 UX 라이터의 작은 습관,Maudie,2023-07-19,"AI, 커뮤니케이션, UIUX",https://yozm.wishket.com/magazine/detail/2128/
사용자의 ‘인게이지먼트’를 측정하는 방법,김민우,2023-07-18,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2127/
[프로덕트 지표 설정 프레임워크] ③ 활성화(Activation) 지표,김민우,2023-07-11,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/2114/
우리에겐 브랜드 문해력이 필요하다,김도영,2023-07-10,"IT, 디자인, 비즈니스",https://yozm.wishket.com/magazine/detail/2112/
사용자 정성 데이터는 어떻게 시각화할 수 있을까?,오의택,2023-07-07,데이터,https://yozm.wishket.com/magazine/detail/2109/
"PM은 CAC, LTV, PP를 언제 어떻게 활용할까?",김민우,2023-07-04,"기획, IT, 비즈니스, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2102/
“맨땅에 헤딩이 습관” 유쾌한 능력자 김동환 쿠팡PO 인터뷰,지유,2023-07-04,"기획, 커뮤니케이션, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2101/
"‘아마존, 롯데마트’ 사례로 본 O2O, O4O 쇼핑 기획하기",그릇,2023-06-30,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2097/
‘아하 모먼트’는 어떻게 측정할까?,김민우,2023-06-27,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2089/
외주 고객센터 구축을 위한 A to Z,beyond eyes,2023-06-20,"기획, AI",https://yozm.wishket.com/magazine/detail/2078/
UI 공백을 콘텐츠로 채우는 방법,Maudie,2023-06-14,"디자인, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/2067/
“CX 꼭 필요한가?”라고 묻는다면,July,2023-06-12,"기획, 개발",https://yozm.wishket.com/magazine/detail/2062/
PM이 웹툰을 그리면서 배운 5가지,맨오브피스,2023-06-09,기획,https://yozm.wishket.com/magazine/detail/2059/
Bing AI의 UX분석하기: 유저 습관 만드는 '훅'모델과 함께,디논,2023-06-05,"AI, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2054/
‘사용성 평가’로 생생한 유저 피드백 수집하기,오의택,2023-05-30,"기획, IT, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2044/
AIDMA를 벗어난 요즘 브랜딩의 3가지 접근법,최프로,2023-05-24,"디자인, AI, 비즈니스",https://yozm.wishket.com/magazine/detail/2038/
최신 트렌드로 알아보는 좋은 CX의 기준,beyond eyes,2023-05-17,"AI, 비즈니스",https://yozm.wishket.com/magazine/detail/2024/
SF 영화로 전망해 본 ‘인공지능 UX의 미래’,오의택,2023-05-11,"IT, 디자인, AI, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/2014/
"7년 차 현직 PM이 들려주는 '취준', 그리고 성장 이야기",프로덕트 세계,2023-05-09,"기획, 데이터",https://yozm.wishket.com/magazine/detail/2008/
"""좀 더 좋은 UX 라이팅""에 숨은 두 가지 의미",박승원,2023-05-03,"디자인, UIUX",https://yozm.wishket.com/magazine/detail/2000/
CX 라이팅의 시대가 온다,Maudie,2023-04-27,"IT, 디자인, UIUX",https://yozm.wishket.com/magazine/detail/1992/
"아마존, 네이버, 스타벅스..공룡 기업이 '커뮤니티' 하는 이유",프로덕트 세계,2023-04-26,IT,https://yozm.wishket.com/magazine/detail/1991/
"""검색 결과가 없습니다""에 대처하는 이커머스 UX 기획",큰그림기획,2023-04-21,"기획, 개발, UIUX",https://yozm.wishket.com/magazine/detail/1983/
"10년 쌓인 문제, 한 달 만에 해결한 PI 방법론",beyond eyes,2023-04-19,개발,https://yozm.wishket.com/magazine/detail/1980/
나를 성장시켜준 자기 계발 방법 3가지,피오리,2023-04-18,"기획, IT",https://yozm.wishket.com/magazine/detail/1978/
사용자 데이터를 효과적으로 분석하는 법,오의택,2023-04-10,"디자인, 데이터",https://yozm.wishket.com/magazine/detail/1967/
10년 차 PO가 알려주는 프로젝트 선정부터 배포까지,피오리,2023-04-06,"기획, 개발",https://yozm.wishket.com/magazine/detail/1962/
디지털 마케터가 AI 시대에 대처하는 자세,워니,2023-03-31,"AI, 비즈니스",https://yozm.wishket.com/magazine/detail/1955/
"‘버티컬 커머스’의 강자 컬리, 29CM, 오늘의집 주문서 뜯어보기",피오리,2023-03-30,데이터,https://yozm.wishket.com/magazine/detail/1952/
성장하고 싶은 데이터 분석가를 위한 추천 도서 6권,주정민,2023-03-22,데이터,https://yozm.wishket.com/magazine/detail/1943/
모수와 표본: 모수가 이렇게 충분한데 그냥 쓰면 안 될까?,골든래빗,2023-03-20,데이터,https://yozm.wishket.com/magazine/detail/1940/
배지(badge) 주는 게 게이미피케이션은 아닙니다,말콤,2023-03-17,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/1937/
"‘이커머스’ 대표주자 쿠팡, 네이버 주문서 뜯어보기",피오리,2023-03-16,데이터,https://yozm.wishket.com/magazine/detail/1936/
어디서부터 어디까지가 UX 리서치인가요?,pxd Story,2023-03-15,"비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/1933/
"UX 라이터 포트폴리오, 이렇게 준비하세요",Maudie,2023-03-10,"IT, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/1928/
"A/B테스트 결과, 큰 숫자가 무조건 의미 있는 건 아니다",골든래빗,2023-03-10,데이터,https://yozm.wishket.com/magazine/detail/1927/
'고객 중심'하려면 데이터툴보다 CX부터 알아야 합니다,beyond eyes,2023-03-09,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/1925/
ChatGPT로 하루 만에 이커머스 앱 제안서 작성하기,그릇,2023-03-03,"기획, IT, AI",https://yozm.wishket.com/magazine/detail/1917/
성장하고 싶은 주니어 기획자를 위한 추천 도서 7권,Creative Owner,2023-03-02,"기획, IT",https://yozm.wishket.com/magazine/detail/1915/
상관관계와 인과관계: 광고 덕분에 DAU가 늘었다?,골든래빗,2023-03-02,데이터,https://yozm.wishket.com/magazine/detail/1913/
"감성까지 읽어내는 UX 리서치 방법론, 디지털 에스노그라피",오의택,2023-02-23,"IT, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/1908/
"교환, 반품, 수리... 이커머스 CS 비용 어떻게 관리해야 할까?",beyond eyes,2023-02-16,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/1899/
나를 매일 성장시키는 셀프 피드백의 힘,말콤,2023-02-10,비즈니스,https://yozm.wishket.com/magazine/detail/1894/
인공지능은 기획자를 대체할 수 있을까,여행하는 기획자,2023-02-02,"기획, AI, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/1882/
"미래 UX를 예측하는 방법, '미래 경험 시나리오'",오의택,2023-01-20,"비즈니스, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/1871/
"우리 회사 CX, 어디까지 해야 할까?",beyond eyes,2023-01-16,기획,https://yozm.wishket.com/magazine/detail/1865/
데이터 분석가가 되어보니 중요한 것들,freak analyst,2023-01-13,"기획, 개발, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/1863/
고객 데이터에 대한 흔한 오해,여행하는 기획자,2023-01-10,데이터,https://yozm.wishket.com/magazine/detail/1859/
NFT 기획 시 주의해야 할 9가지: 2부,크립토유치원,2023-01-02,기획,https://yozm.wishket.com/magazine/detail/1849/
PO는 무슨 일을 하나요? 10년 차 PO가 답변해드립니다,피오리,2022-12-28,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/1843/
UX 리서처는 어떤 일을 하나요?,오의택,2022-12-27,"데이터, UIUX",https://yozm.wishket.com/magazine/detail/1841/
NFT 기획 시 주의해야 할 9가지: 1부,크립토유치원,2022-12-26,기획,https://yozm.wishket.com/magazine/detail/1840/
취향이 아닌 논리로 기획하기,말콤,2022-12-19,"기획, 디자인, UIUX",https://yozm.wishket.com/magazine/detail/1831/
